"CIDR","Owner"
"1.1.1.0/24","APNIC and Cloudflare DNS Resolver project
Routed globally by AS13335/Cloudflare
Research prefix for APNIC Labs"
"8.0.0.0/9","Level 3 Parent, LLC"
